****************************
RPMD umbrella configurations
****************************

Temperature                             = 300 K
Number of beads                         = 1
Time step                               = 0.0001 ps
Number of umbrella integration windows  = 107
Trajectory evolution time               = 5 ps (50000 steps)

xi = -0.0500
N       -0.152067    0.143537    0.042956
H     -251.859462 -423.844993  166.168716
H      253.972331  421.850637 -166.765558

xi = -0.0400
N       -0.050879    0.303007   -0.109782
H     -260.447088 -425.715820  165.133089
H      261.154026  421.505741 -163.607742

xi = -0.0300
N       -0.254749   -0.144342   -0.071388
H     -252.053462 -416.618602  153.326510
H      255.593030  418.624141 -152.334626

xi = -0.0200
N        0.117209   -0.809253   -0.261263
H     -244.423141 -401.183516  144.130742
H      242.794605  412.427562 -140.500669

xi = -0.0100
N       -1.197427   -0.388912   -0.092419
H     -219.707071 -404.350376  134.227261
H      236.344539  409.754057 -132.943157

xi = 0.0000
N       -2.043347   -0.086686    0.002396
H     -214.091744 -403.559151  127.126658
H      242.482717  404.763598 -127.159947

xi = 0.0100
N       -1.617599    1.133621   -1.526991
H     -210.765392 -398.105541  138.925056
H      233.240883  382.354615 -117.708502

xi = 0.0200
N       -3.000227    2.725393    0.459711
H     -211.089219 -401.232785  117.681574
H      252.775417  363.365226 -124.068959

xi = 0.0300
N       -1.107787    3.664846   -0.118992
H     -227.165339 -415.714959  125.642954
H      242.557318  364.794308 -123.989631

xi = 0.0400
N       -1.838839    4.350746    0.172973
H     -212.668917 -427.780128  119.254292
H      238.218386  367.329333 -121.657643

xi = 0.0500
N       -2.081395    4.596518   -0.673776
H     -208.470581 -436.128451  131.807634
H      237.390207  372.262823 -122.445960

xi = 0.0600
N       -2.914467    4.715021    0.494973
H     -207.822329 -434.975144  125.770469
H      248.316948  369.462984 -132.647804

xi = 0.0700
N       -3.787288    5.986740    0.605049
H     -211.558186 -436.186806  124.281352
H      264.180096  353.004949 -132.688120

xi = 0.0800
N       -4.266403    6.385523    0.324226
H     -214.753997 -435.442457  123.467226
H      274.032895  346.719759 -127.972142

xi = 0.0900
N       -3.483459    6.676412    0.159351
H     -220.055009 -440.928929  116.689754
H      268.455403  348.164527 -118.903827

xi = 0.1000
N       -4.580315    7.560362   -3.089513
H     -207.725264 -445.744193  137.096231
H      271.365769  340.697880  -94.169461

xi = 0.1100
N       -5.187825    6.715095   -4.340350
H     -203.115627 -436.247196  146.330020
H      275.197085  342.945318  -86.023676

xi = 0.1200
N       -5.704797    8.634989   -3.430934
H     -204.076350 -451.408722  135.882849
H      283.340804  331.431154  -88.212244

xi = 0.1300
N       -5.149258   11.036063   -3.511634
H     -205.946217 -452.291209  148.966259
H      277.491810  298.952288 -100.174383

xi = 0.1400
N       -5.997101   10.225618   -2.006569
H     -202.242619 -436.965125  145.309621
H      285.568447  294.886803 -117.429652

xi = 0.1500
N       -6.290400   10.962826   -2.966459
H     -185.642893 -438.446502  147.993864
H      273.043919  286.125164 -106.776841

xi = 0.1600
N       -7.781689   11.927237   -3.571816
H     -172.939600 -444.272448  147.626009
H      281.061113  278.551239  -97.997949

xi = 0.1700
N       -8.113232   11.707260   -3.955742
H     -176.023132 -438.880960  157.000469
H      288.751215  276.216185 -102.037997

xi = 0.1800
N       -7.984068   12.400866   -4.665270
H     -173.978819 -428.114930  162.627781
H      284.912254  255.812959  -97.806884

xi = 0.1900
N       -9.833685   12.630886   -3.754310
H     -175.866892 -434.283224  154.013197
H      312.499560  258.785269 -101.849500

xi = 0.2000
N      -10.803949   11.993185   -2.786454
H     -164.325750 -431.311688  137.879345
H      314.439598  264.674170  -99.163380

xi = 0.2100
N      -10.969980   12.682547   -2.162723
H     -160.556218 -421.706935  128.222717
H      312.976969  245.491182  -98.173085

xi = 0.2200
N      -10.767440   14.641534   -2.203532
H     -160.281721 -443.544935  130.060102
H      309.888302  240.110328  -99.443457

xi = 0.2300
N      -10.756777   16.342893   -2.753642
H     -158.345884 -453.867868  128.319908
H      307.804316  226.793985  -90.059846

xi = 0.2400
N      -11.063931   17.099921   -3.419967
H     -160.219074 -461.388936  134.486471
H      313.945211  223.796641  -86.968254

xi = 0.2500
N      -11.743772   17.906468   -2.417644
H     -159.131953 -467.393352  125.997264
H      322.304034  218.594613  -92.405677

xi = 0.2600
N      -11.942900   18.535628   -1.841081
H     -143.181151 -469.460121  103.146397
H      309.119992  211.919607  -77.565767

xi = 0.2700
N      -12.591030   19.027809   -2.155454
H     -133.448834 -476.976593   91.175614
H      308.393019  212.597549  -61.226975

xi = 0.2800
N      -11.789515   21.363529   -2.008422
H     -139.068731 -478.270236   87.435899
H      302.876377  181.437886  -59.530175

xi = 0.2900
N      -13.018426   22.462471   -1.325753
H     -142.360929 -477.935123   80.745684
H      323.243505  165.833679  -62.325208

xi = 0.3000
N      -12.393506   22.374832   -1.553597
H     -142.034790 -483.864430   91.049607
H      314.234503  172.980675  -69.463389

xi = 0.3100
N      -13.547333   22.935871   -0.121808
H     -141.339042 -471.694739   77.218812
H      329.570430  153.015712  -75.526374

xi = 0.3200
N      -14.405565   24.303822   -0.087407
H     -135.907275 -482.299095   81.572646
H      336.063239  144.613279  -80.358186

xi = 0.3300
N      -14.507176   23.646145   -0.953434
H     -136.894463 -466.610834   92.911437
H      338.462251  138.063011  -79.664092

xi = 0.3400
N      -14.134907   24.565856   -0.983290
H     -129.256803 -465.983257   89.528862
H      325.652158  124.656646  -75.866691

xi = 0.3500
N      -14.236604   25.207608   -1.493343
H     -116.936685 -461.499997   94.328911
H      314.745051  111.256665  -73.579882

xi = 0.3600
N      -14.819421   24.558246   -1.522509
H     -106.889684 -453.836337   91.434390
H      312.795904  112.615463  -70.280118

xi = 0.3700
N      -16.029189   25.205580   -1.700548
H      -97.828207 -457.977796   80.354986
H      320.543377  107.762645  -56.726978

xi = 0.3800
N      -15.448631   25.644557    0.033781
H      -96.099019 -458.167689   70.329232
H      310.747716  101.853237  -70.798597

xi = 0.3900
N      -16.131415   26.722383    0.633550
H      -91.301647 -463.505473   52.599659
H      315.437182   92.215325  -61.402430

xi = 0.4000
N      -17.119853   26.595499    0.775886
H     -101.947618 -460.053094   43.552659
H      339.816855   90.525919  -54.333085

xi = 0.4100
N      -16.611580   26.497492    2.613078
H      -94.075729 -449.736208   35.279230
H      324.882837   81.570774  -71.586255

xi = 0.4200
N      -16.029166   28.716744    2.458897
H      -97.667362 -456.063925   32.909285
H      320.382215   57.063420  -67.074063

xi = 0.4300
N      -17.200841   27.117550    2.739057
H      -96.365927 -436.659766   30.233830
H      335.360441   59.879033  -68.291252

xi = 0.4400
N      -16.860794   27.843025    0.513557
H      -98.798373 -439.826411   58.621038
H      333.068157   52.965672  -65.756574

xi = 0.4500
N      -17.041874   27.266805   -1.365840
